purpose,category,title,date,author,body,img1,img2,project
blog,Roofing,New galvalume standing seam metal roof.,"May 03, 2020",Brian McGee,"We enjoyed this one helping a good client out with there metal roof on a vacation home on the beach. Nice weather and tan was a bonus too. This is a snap lock 1.5"" 16"" panel. I just love the look and the detail here at the posts. What a beautiful pool cabana. ",../assets/gallery/sseam1.jpg,../assets/gallery/sseam2.jpg,
blog,Drywall Repair,Large drywall textured finish in basement,"March 02, 2022",Brian McGee,Well cold temperatures and frozen pipes in the basement ceiling caused 12 sheets of drywall damaged in a finished carpeted basement room. Here we have prepped the area with dropcloths and plastic. All boards are installed and ready for the mud work..stay tuned!,../assets/gallery/drywall-repair3a.jpg,../assets/gallery/drywall-repair3.jpg,drywall
blog,Drywall Repair,Drywall textured finish and painted by the handyman,"March 04, 2022",Brian McGee,Well we have been working away on this. We are finishing in a textured finish on the ceiling and smooth on the walls. We have installed a primer and casecoat to match the surrounding...You cant even tell we were here! Another happy client. ,../assets/gallery/drywall-repair4.jpg,../assets/gallery/drywall-repair5.jpg,drywall
blog,Handyman,Bathroom sink faucet install by the handyman,"March 06, 2022",Brian McGee,Well simply call for a bathroom faucet install for a client. We removed the old faucet and installed a new Delta Foundations in chrome finish. Clean up and on to the next. Another happy client!,../assets/gallery/handy-sink1b.jpg,../assets/gallery/handy-sink1a.jpg,repair
blog,Kitchen Backsplash,Beautiful kitchen backsplash tile install,"May 02, 2022",Brian McGee,A simply elegant tile install for these homeowners in their already beautiful kitchen. We were able to add the speacial touch that they always wanted. Another satisfied homeowner!,../assets/gallery/backsplash1.jpg,../assets/gallery/backsplash2.jpg,kitchen-remodel-ah
blog,Deck Repair,Maintenance deck repair boards and posts,"June 02, 2022",Brian McGee,We were able to make some maintenance repairs on this 10 year old deck. We saved the old composite deck boards and replaced the beams and posts in the troubled area. Back to enjoying the pool - Another satisfied homeowner!,../assets/gallery/deck-repair1.jpg,../assets/gallery/deck-repair2.jpg,handyman
blog,Drywall Repair,Moisture damaged drywall and paint repair,"June 06, 2022",Brian McGee,Moisture damaged cieling caused by leaking plumbing has been fixed. We removed all the old board and installed new. Added some texture on one and smooth finish on the other. Next we painted the cieling to match existing. Extra care and caution at the beatiful kitchen cabinets. Problem Solved!,../assets/gallery/drywall-kitchen1b.jpg,../assets/gallery/drywall-kitchen1a.jpg,drywall
blog,Shingle Repair,Roof edge leak solved by BRM,"June 18, 2020",Brian McGee,There was issues on the edge of the roof. The shingles were still in servicable condition so we were able to handle this with a simply maintenance repair and extend the life of this roof verses replacement. Our client was happy and able to set up a budget plan for roof replacment. Problem solved!,../assets/gallery/shingle-repair1.jpg,../assets/gallery/shingle-repair2.jpg,handyman
blog,Siding and Roofing,Porch roof remodel project with siding and wrap,"June 23, 2021",Brian McGee,"What an awesome transformation on this house. We installed new vinyl siding, soffit and fascia, window wraps and more. This is a 2-story company house so its tall. We handle steep and tall - so give us a call.",../assets/gallery/pollin-siding3.jpg,../assets/gallery/house-after.jpg,siding-roofing
blog,Siding and Roofing,"Home renovation project exterior siding, soffit and fascia","June 20, 2021",Brian McGee,"What an awesome transformation on this house. We installed new vinyl siding, soffit and fascia, window wraps and more. This is a 2-story company house so its tall. We handle steep and tall - so give us a call.",../assets/gallery/house-before.jpg,../assets/gallery/pollin-siding2.jpg,siding-roofing
